Time,IL1,IL2,Rede,Vbus11,Vpv,HIL0 digital input 19,HIL0 digital input 15,HIL0 digital input 18,HIL0 digital input 14,HIL0 digital input 28
0.0052,3.9944224,1.1469516,211.60764,414.65817,22.97401,0.0,0.0,1.0,0.0,1.0
0.0053,2.5789795,1.1363932,199.60022,414.86166,22.968,0.0,0.0,1.0,0.0,1.0
0.0054,1.642474,1.0851767,186.16483,415.19568,22.961699,0.0,0.0,1.0,0.0,1.0
0.0055,0.47112927,1.0353947,172.26025,415.5264,22.954823,0.0,0.0,1.0,0.0,1.0
0.0056,-0.45009556,0.96732414,158.8254,415.91238,22.947659,0.0,0.0,1.0,0.0,1.0
0.0057,-1.2157488,0.87623686,146.53798,416.3096,22.940262,0.0,1.0,1.0,0.0,1.0
0.0058,-1.9790927,0.79281896,135.65385,416.69818,22.932821,0.0,1.0,1.0,0.0,1.0
0.0059,-3.05977,0.7373457,125.96923,417.10098,22.925194,0.0,1.0,1.0,0.0,1.0
0.006,-3.8376598,0.66100883,116.91296,417.53387,22.917068,0.0,1.0,0.0,0.0,1.0
0.0061,-4.5721517,0.6030121,107.73868,417.92545,22.908598,0.0,1.0,0.0,0.0,1.0
0.0062,-5.5978003,0.5706509,97.75901,418.36102,22.899858,1.0,1.0,0.0,0.0,1.0
0.0063,-5.5237565,0.50367963,86.55337,418.86923,22.890797,1.0,1.0,0.0,0.0,1.0
0.0064,-4.8948665,0.4660298,74.090416,419.38593,22.881575,1.0,1.0,0.0,0.0,1.0
0.0065,-4.596422,0.4173463,60.732452,419.93,22.872025,1.0,1.0,0.0,0.0,1.0
0.0066,-4.183012,0.3490312,47.12418,420.4746,22.862427,1.0,1.0,0.0,0.0,1.0
0.0067,-3.783253,0.27945897,34.00178,421.00604,22.852673,1.0,1.0,0.0,0.0,1.0
0.0068,-3.3807452,0.19844592,21.980194,421.52942,22.842762,1.0,1.0,0.0,0.0,1.0
0.0069,-2.6520622,0.09724307,11.381236,422.03738,22.8323,1.0,1.0,0.0,0.0,1.0
0.007,-2.0509717,0.020549903,2.1510434,422.54742,22.821802,1.0,1.0,0.0,0.0,1.0
0.0071,-1.5127707,-0.051771563,-6.112414,423.04324,22.811457,1.0,1.0,0.0,0.0,1.0
0.0072,-0.8989537,-0.11271475,-14.033899,423.5204,22.800726,1.0,1.0,0.0,0.0,1.0
0.0073,-0.19467431,-0.17042612,-22.278065,423.98187,22.789913,1.0,1.0,0.0,0.0,1.0
0.0074,0.26696682,-0.1954742,-31.364895,424.4311,22.77895,1.0,1.0,0.0,0.0,1.0
0.0075,1.0952514,-0.25430566,-41.537334,424.8517,22.767626,1.0,1.0,0.0,0.0,1.0
0.0076,1.6927836,-0.3189588,-52.717136,425.22272,22.755749,1.0,1.0,0.0,0.0,1.0
0.0077,2.820277,-0.39927265,-64.55691,425.56845,22.74367,1.0,1.0,0.0,0.0,1.0
0.0078,3.1665435,-0.4169712,-76.56731,425.9009,22.731318,1.0,1.0,0.0,0.0,1.0
0.0079,4.3246756,-0.5118979,-88.27636,426.0924,22.718678,0.0,1.0,1.0,0.0,1.0
0.008,4.7594776,-0.58584434,-99.37049,426.37314,22.706131,0.0,1.0,1.0,0.0,1.0
0.0081,3.364613,-0.63035595,-109.77456,426.63156,22.693491,0.0,1.0,1.0,0.0,1.0
0.0082,3.1567106,-0.7178617,-119.649414,426.8326,22.680603,0.0,1.0,1.0,0.0,1.0
0.0083,2.3439782,-0.7710647,-129.31192,426.99466,22.667566,0.0,1.0,1.0,0.0,1.0
0.0084,1.3179058,-0.7980878,-139.10678,427.13022,22.654184,0.0,1.0,1.0,0.0,1.0
0.0085,1.2360651,-0.8859412,-149.2739,427.12662,22.640995,0.0,1.0,1.0,0.0,1.0
0.0086,0.35692328,-0.8993075,-159.85411,427.22903,22.627895,0.0,0.0,1.0,0.0,1.0
0.0087,-0.063392065,-0.94560933,-170.66394,427.09155,22.614721,0.0,0.0,1.0,0.0,1.0
0.0088,-0.5603709,-0.9849199,-181.34563,427.04886,22.601305,0.0,0.0,1.0,0.0,1.0
0.0089,-1.2238636,-1.0290505,-191.47568,426.84848,22.587515,0.0,0.0,1.0,0.0,1.0
0.009,-1.2367753,-1.1117265,-200.69582,426.66794,22.57369,0.0,0.0,1.0,0.0,1.0
0.0091,-1.8848834,-1.1427863,-208.82419,426.46265,22.559723,0.0,0.0,1.0,0.0,1.0
0.0092,-1.9860836,-1.1908991,-215.9117,426.2002,22.545547,0.0,1.0,1.0,0.0,1.0
0.0093,-2.4292223,-1.212641,-222.22586,425.94827,22.53126,0.0,1.0,1.0,0.0,1.0
0.0094,-2.6563761,-1.2786222,-228.16801,425.53925,22.516613,0.0,1.0,1.0,0.0,1.0
0.0095,-3.0092282,-1.303182,-234.1506,425.29675,22.501793,0.0,1.0,1.0,0.0,1.0
0.0096,-3.2675347,-1.3411559,-240.47269,424.75723,22.48684,0.0,1.0,1.0,0.0,1.0
0.0097,-3.4340758,-1.385804,-247.23186,424.3033,22.471785,0.0,1.0,1.0,0.0,1.0
0.0098,-3.8143916,-1.3882568,-254.29819,423.8336,22.45668,0.0,1.0,1.0,0.0,1.0
0.0099,-3.830982,-1.4093447,-261.3555,423.2299,22.441593,0.0,1.0,1.0,0.0,1.0
0.01,-4.156898,-1.4226725,-267.99457,422.6357,22.426477,0.0,1.0,1.0,0.0,1.0
0.0101,-4.210387,-1.4533308,-273.82678,422.008,22.411274,0.0,1.0,1.0,0.0,1.0
0.0102,-4.3020697,-1.4822682,-278.5828,421.39053,22.395807,0.0,1.0,1.0,0.0,1.0
0.0103,-4.429319,-1.5135475,-282.16687,420.7013,22.380138,0.0,1.0,1.0,0.0,1.0
0.0104,-4.7048955,-1.5110282,-284.65384,420.1614,22.36451,0.0,1.0,0.0,0.0,1.0
0.0105,-4.4939528,-1.555551,-286.23608,419.43848,22.349028,1.0,1.0,0.0,0.0,1.0
0.0106,-3.6560385,-1.5623614,-287.14307,418.9377,22.334206,1.0,1.0,0.0,0.0,1.0
0.0107,-2.4417608,-1.5744148,-287.5656,418.36746,22.319294,1.0,1.0,0.0,0.0,1.0
0.0108,-1.2501706,-1.5930326,-287.61206,417.75412,22.306963,1.0,1.0,0.0,0.0,1.0
0.0109,-0.08377252,-1.5976909,-287.31155,417.2614,22.296352,1.0,1.0,0.0,0.0,1.0
0.011,0.93917364,-1.5900794,-286.66043,416.71353,22.286604,0.0,1.0,1.0,0.0,1.0
0.0111,1.4318556,-1.5782815,-285.69046,416.24463,22.277496,0.0,1.0,1.0,0.0,1.0
0.0112,0.9949953,-1.6202428,-284.528,415.6055,22.2689,0.0,1.0,1.0,0.0,1.0
0.0113,1.1938523,-1.6721104,-283.41464,415.20584,22.262608,0.0,1.0,1.0,0.0,1.0
0.0114,0.548349,-1.6566727,-282.6721,414.72867,22.257576,0.0,1.0,1.0,0.0,1.0
0.0115,0.5310217,-1.6503326,-282.61487,414.20883,22.253382,0.0,1.0,1.0,0.0,1.0
0.0116,0.26563427,-1.63539,-283.4344,413.6257,22.249992,0.0,1.0,1.0,0.0,1.0
0.0117,0.26882946,-1.5977557,-285.09232,413.18146,22.247492,0.0,1.0,1.0,0.0,1.0
0.0118,-0.19222553,-1.5688012,-287.26355,412.49976,22.245136,0.0,1.0,1.0,0.0,1.0
0.0119,-0.40210158,-1.5501618,-289.3573,411.94894,22.241037,0.0,1.0,1.0,0.0,1.0
0.012,-0.57749087,-1.5125873,-290.6232,411.4185,22.233906,0.0,0.0,1.0,0.0,1.0
0.0121,-0.98647857,-1.4847175,-290.32172,410.7976,22.226183,0.0,0.0,1.0,0.0,1.0
0.0122,-0.66783345,-1.5079762,-287.916,410.3485,22.219116,0.0,0.0,1.0,0.0,1.0
0.0123,-0.8748784,-1.5116992,-283.2308,410.0138,22.2125,0.0,0.0,1.0,0.0,1.0
0.0124,-0.89616996,-1.5255582,-276.52893,409.66656,22.205387,0.0,0.0,1.0,0.0,1.0
0.0125,-1.1739385,-1.5271587,-268.47534,409.4549,22.198442,0.0,0.0,1.0,0.0,1.0
0.0126,-0.9459743,-1.5157868,-259.99054,409.36795,22.191513,0.0,0.0,1.0,0.0,1.0
0.0127,-1.8462185,-1.406339,-252.0264,409.3294,22.18455,0.0,1.0,1.0,0.0,1.0
0.0128,-1.7465763,-1.3929566,-245.32181,409.04297,22.177633,0.0,1.0,1.0,0.0,1.0
