Time, amplitude[0], amplitude[1], amplitude[2], amplitude[3], amplitude[4], amplitude[5], amplitude[6], amplitude[7], amplitude[8], amplitude[9], amplitude[10], amplitude[11], amplitude[12], amplitude[13], amplitude[14], amplitude[15], amplitude[16], amplitude[17], amplitude[18], amplitude[19]
85.0, 1.6325548887252808, 0.04422251507639885, 0.011574828997254372, 0.004079305566847324, 0.00253483559936285, 0.0018646203679963946, 0.004192732274532318, 0.003164420835673809, 0.007559321355074644, 0.0011929806787520647, 0.008148006163537502, 0.000479366397485137, 0.01571124792098999, 0.0007201083935797215, 0.014793915674090385, 0.001632533734664321, 0.004384541418403387, 0.0017079770332202315, 0.004419483710080385, 0.004770827945321798
86.0, 1.6387367248535156, 0.04988298937678337, 0.009442167356610298, 0.00216853735037148, 0.0009703871910460293, 0.0014177421107888222, 0.0008811679435893893, 0.0017685671336948872, 0.005886509083211422, 0.002336176112294197, 0.006902530789375305, 0.0022977199405431747, 0.011345606297254562, 0.0019078124314546585, 0.016496850177645683, 0.0030854602809995413, 0.003981101326644421, 0.003389855846762657, 0.00453920615836978, 0.0048836530186235905
90.0, 1.6390390396118164, 0.04723171144723892, 0.012521473690867424, 0.0030749361030757427, 0.0018338222289457917, 0.0018564355559647083, 0.002733677625656128, 0.0012187639949843287, 0.005418629851192236, 0.0005352873704396188, 0.005283408798277378, 0.001999220810830593, 0.013541645370423794, 0.0016413393896073103, 0.01730026677250862, 0.0002571803634054959, 0.0021280539222061634, 0.0009653551387600601, 0.0026370615232735872, 0.0027929593343287706
91.0, 1.6365183591842651, 0.0072080474346876144, 0.014796875417232513, 0.0027750516310334206, 0.003083253977820277, 0.0015221580397337675, 0.002297617495059967, 0.001210186630487442, 0.008231314830482006, 0.0010665024165064096, 0.0070065394975245, 0.0025635291822254658, 0.016747811809182167, 0.0029787172097712755, 0.01604614034295082, 0.004750819411128759, 0.001427183044143021, 0.0021450724452733994, 0.0035653531085699797, 0.002247499767690897
93.0, 1.6282001733779907, 0.08415165543556213, 0.011611930094659328, 0.0051836599595844746, 0.0014610759681090713, 0.0010405005887150764, 0.001583827193826437, 0.0008634895202703774, 0.0071854968555271626, 0.0023284167982637882, 0.006986250635236502, 0.0033605811186134815, 0.0131586454808712, 0.0014544439036399126, 0.01604878157377243, 0.004565076436847448, 0.00368066830560565, 0.005638232454657555, 0.004446079488843679, 0.004291138611733913
94.0, 1.6335757970809937, 0.052140504121780396, 0.011000702157616615, 0.0026161379646509886, 0.0018537790747359395, 0.00035124467103742063, 0.003942423965781927, 0.0012874271487817168, 0.005462016444653273, 0.001178612350486219, 0.00419750576838851, 0.004655399359762669, 0.010387186892330647, 0.002370906062424183, 0.016625886783003807, 0.0013758031418547034, 0.0025341720320284367, 0.0017334885196760297, 0.005487939342856407, 0.004148545209318399
95.0, 1.6208336353302002, 0.027624087408185005, 0.008586777374148369, 0.0001949857105500996, 0.003913276828825474, 0.0032742004841566086, 0.0015176902525126934, 0.0014340290799736977, 0.0062600779347121716, 0.0010296336840838194, 0.006795148830860853, 0.0025338055565953255, 0.012833737768232822, 0.0018520639277994633, 0.01916469633579254, 0.0009198959451168776, 0.005699387285858393, 0.001454768469557166, 0.005629269406199455, 0.0020429014693945646
96.0, 1.6322726011276245, 0.08060368150472641, 0.01161959208548069, 0.0014373017475008965, 0.001136320293880999, 0.0006987726665101945, 0.0030182565096765757, 0.001094941166229546, 0.00448083458468318, 0.0005421645473688841, 0.005465887486934662, 0.0017239515436813235, 0.012867733836174011, 0.0033181444741785526, 0.018004946410655975, 0.0013739840360358357, 0.002153589855879545, 0.0029131444171071053, 0.003918171860277653, 0.0011938776588067412
97.0, 1.6337097883224487, 0.05663162097334862, 0.010398481041193008, 0.0011919550597667694, 0.002050616778433323, 0.001738832681439817, 0.0026485384441912174, 0.0008252182160504162, 0.005922052543610334, 0.002757634734734893, 0.0069725532084703445, 0.003344448283314705, 0.011600564233958721, 0.007436022628098726, 0.019799962639808655, 0.005918332375586033, 0.004856414161622524, 0.004828875418752432, 0.004372954368591309, 0.0026248223148286343
98.0, 1.6281992197036743, 0.06375181674957275, 0.003783213207498193, 0.0014599021524190903, 0.0034061919432133436, 0.0006505522760562599, 0.00266280653886497, 0.0015981763135641813, 0.0053742979653179646, 0.001612175488844514, 0.009342236444354057, 0.0018009464256465435, 0.014789982698857784, 0.002244961215183139, 0.01691495254635811, 0.0014490350149571896, 0.0014631402445957065, 0.0010440582409501076, 0.0017176459077745676, 0.0020451282616704702
99.0, 1.6304290294647217, 0.042113833129405975, 0.013772583566606045, 0.00046608346747234464, 0.0004430716799106449, 0.0021610043477267027, 0.0015602185158059, 0.0014364110538735986, 0.008259069174528122, 0.0008854224579408765, 0.008697818033397198, 0.0024865521118044853, 0.015834854915738106, 0.004408829379826784, 0.019055647775530815, 0.0014307210221886635, 0.007673927117139101, 0.0016912865685299039, 0.007628718391060829, 0.002368119778111577
101.0, 1.6261012554168701, 0.07878831773996353, 0.007963202893733978, 0.002685899380594492, 0.001084356103092432, 0.0017059639794752002, 0.0006005725008435547, 0.0009191007120534778, 0.007454539183527231, 0.00042943382868543267, 0.007410378195345402, 0.0009288210421800613, 0.011535286903381348, 0.000661487749312073, 0.017323389649391174, 0.001035452587530017, 0.002632034244015813, 0.0014840197982266545, 0.003513666335493326, 0.002539977664127946
102.0, 1.6422110795974731, 0.09096332639455795, 0.008105671964585781, 0.004704207647591829, 0.0029391986317932606, 0.002286075847223401, 0.0027299905195832253, 0.0017178760608658195, 0.006904455833137035, 0.001781267812475562, 0.0055846357718110085, 0.00048236278234981, 0.012452492490410805, 0.001824039500206709, 0.01741223782300949, 0.003247147658839822, 0.0036621938925236464, 0.0018520181765779853, 0.004489945713430643, 0.0024654853623360395
103.0, 1.6308382749557495, 0.10653965175151825, 0.013592413626611233, 0.0037202960811555386, 0.0016509512206539512, 0.0020536144729703665, 0.0016721055144444108, 0.0021949009969830513, 0.006091445684432983, 0.0032908546272665262, 0.007641103584319353, 0.00342537765391171, 0.012735482305288315, 0.0033428771421313286, 0.020132070407271385, 0.0037579857744276524, 0.007866349071264267, 0.003036075970157981, 0.007114229258149862, 0.0021025671157985926
104.0, 1.6195719242095947, 0.056272730231285095, 0.006573188118636608, 0.0005749017000198364, 0.0004724064201582223, 0.0021587254013866186, 0.0013321894221007824, 0.002393077127635479, 0.00613089045509696, 0.002140485215932131, 0.009201228618621826, 0.0018559073796495795, 0.012905670329928398, 0.0016105619724839926, 0.018270855769515038, 0.0020477420184761286, 0.004871008917689323, 0.0020094458013772964, 0.004915053956210613, 0.0005938002141192555
106.0, 1.6406974792480469, 0.05237369239330292, 0.008101304061710835, 0.0006261308444663882, 0.0009232662268914282, 0.0016125711845234036, 0.0011774642625823617, 0.0011329613626003265, 0.006458410061895847, 0.0013388007646426558, 0.007785707246512175, 0.0006823575240559876, 0.01298617385327816, 0.0011101728305220604, 0.016596736386418343, 0.003197027835994959, 0.0017218244029209018, 0.004759463481605053, 0.0031092772260308266, 0.0054563540033996105
107.0, 1.6168080568313599, 0.07975605875253677, 0.009978841058909893, 0.00490469578653574, 0.002104509621858597, 0.0002767309779301286, 0.0014913850463926792, 0.0010476259049028158, 0.006421614438295364, 0.0015904961619526148, 0.007939295843243599, 0.0018974768463522196, 0.016098417341709137, 0.0029489819426089525, 0.020972641184926033, 0.0026447847485542297, 0.007959742099046707, 0.003584587946534157, 0.005749216768890619, 0.0029079073574393988
108.0, 1.6297019720077515, 0.07792921364307404, 0.0038776888977736235, 0.0032916581258177757, 0.004639229271560907, 0.00029444589745253325, 0.001979202963411808, 0.0003637379268184304, 0.00434123957529664, 0.0037910628598183393, 0.0055823964066803455, 0.0029770832043141127, 0.013242962770164013, 0.0016859745373949409, 0.019069990143179893, 0.0020588324405252934, 0.004063330590724945, 0.0034294782672077417, 0.003846375970169902, 0.00467858137562871
109.0, 1.6307988166809082, 0.05522628873586655, 0.007933579385280609, 0.0011303682113066316, 0.0044907499104738235, 0.0013532554730772972, 0.0016172657487913966, 0.002274377504363656, 0.004911476746201515, 0.002140964148566127, 0.006217980291694403, 0.0008020339882932603, 0.013646560721099377, 0.0018751577008515596, 0.01392268855124712, 0.001358161331154406, 0.002383942250162363, 0.004760254640132189, 0.004858192056417465, 0.004038759972900152
110.0, 1.6327208280563354, 0.05764158070087433, 0.009579754434525967, 0.004125526174902916, 0.003878668649122119, 0.0020516724325716496, 0.000700589211191982, 0.0004923925152979791, 0.005176447331905365, 0.0016270998166874051, 0.007351235020905733, 0.003304125042632222, 0.012908997014164925, 0.002062526298686862, 0.018223214894533157, 0.00198941957205534, 0.005313010886311531, 0.0028710749465972185, 0.005126515403389931, 0.0010398778831586242
