Time,IL1,IL2,Rede,Vbus11
-0.5,2.894485,1.3239563,287.75687,429.00592
-0.49998,2.007108,1.3033789,287.93747,429.23355
-0.49996,4.3651295,1.2452586,288.10193,429.01337
-0.49994,3.8991046,1.2369665,288.2508,428.71057
-0.49992,3.4720652,1.2419366,288.3846,428.55582
-0.4999,2.607409,1.2202407,288.503,428.7216
-0.49988,4.575946,1.170558,288.60602,428.50345
-0.49986,4.1472225,1.165111,288.69522,428.2343
-0.49984,3.7950525,1.1717615,288.7706,428.12683
-0.49982,2.9343553,1.1511078,288.83224,428.31973
-0.4998,4.9585977,1.1085385,288.87918,428.0644
-0.49978,4.402446,1.1142583,288.91113,427.8042
-0.49976,4.004977,1.1287613,288.9291,427.68933
-0.49974,4.608082,1.1248296,288.93295,427.67276
-0.49972,4.8367434,1.1479086,288.9226,427.3554
-0.4997,4.168156,1.1857458,288.8971,427.24738
-0.49968,3.7098048,1.2056867,288.85623,427.24963
-0.49966,4.59956,1.1887664,288.8012,427.2914
-0.49964,2.6252275,1.208286,288.73227,426.99704
-0.49962,1.4029516,1.2564592,288.6497,426.79495
-0.4996,0.056668725,1.2896101,288.55316,426.82962
-0.49958,0.34780946,1.2698023,288.4433,426.94077
-0.49956,0.6730241,1.2689885,288.32178,426.61765
-0.49954,-0.8223503,1.2970498,288.18964,426.39386
-0.49952,-1.4512408,1.3044513,288.048,426.38864
-0.4995,-1.0004367,1.286698,287.89777,426.37894
-0.49948,-1.3083339,1.3176959,287.74078,425.94452
-0.49946,-1.9164108,1.3720967,287.5791,425.67853
-0.49944,-3.1613798,1.4065425,287.4147,425.67358
-0.49942,-0.97628546,1.3896029,287.2496,425.81683
-0.4994,-0.9811152,1.4035734,287.08624,425.42508
-0.49938,-1.7429633,1.4399173,286.92746,425.2126
-0.49936,-2.3498557,1.444448,286.7753,425.22208
-0.49934,-0.22114828,1.4176247,286.63232,425.17502
-0.49932,-0.32948428,1.4377477,286.50107,424.71558
-0.4993,-1.5396888,1.4801749,286.3852,424.4713
-0.49928,-2.0897014,1.4783827,286.2879,424.54175
-0.49926,0.30687916,1.4399209,286.21042,424.47653
-0.49924,0.08287004,1.4563922,286.15518,423.9886
-0.49922,-1.0769277,1.4957423,286.12445,423.73685
-0.4992,-1.634383,1.4929192,286.12222,423.79266
-0.49918,0.6055564,1.4550872,286.15106,423.703
-0.49916,0.31843808,1.4677613,286.2106,423.2161
-0.49914,-0.28124228,1.5042228,286.3022,422.90698
-0.49912,-1.4408466,1.515296,286.42694,422.93594
-0.4991,0.65758765,1.4749788,286.58783,422.9229
-0.49908,0.63088894,1.4676822,286.7857,422.53928
-0.49906,-0.15078011,1.4745823,287.0182,422.31232
-0.49904,-0.6202064,1.4505017,287.28467,422.32596
-0.49902,1.3152491,1.4024653,287.58444,422.1862
-0.499,1.0521246,1.4017935,287.91812,421.73236
-0.49898,0.044619463,1.4141346,288.28394,421.52484
-0.49896,-0.4192878,1.385154,288.67773,421.60645
-0.49894,1.7190868,1.3271874,289.09662,421.47162
-0.49892,1.4079618,1.3228195,289.5376,421.00906
-0.4989,0.3438856,1.3314064,289.99817,420.8298
-0.49888,1.3830861,1.2996264,290.4736,420.84937
-0.49886,2.2033174,1.2943934,290.95895,420.45456
-0.49884,0.7861634,1.3333101,291.44928,420.1331
-0.49882,0.52555233,1.3398061,291.93964,420.09174
-0.4988,1.7023258,1.3024749,292.42416,420.12155
-0.49878,2.5185256,1.2937553,292.8959,419.7653
-0.49876,1.1124641,1.3288355,293.35046,419.45932
-0.49874,0.81513816,1.3297724,293.7817,419.42633
-0.49872,1.903747,1.2815152,294.1838,419.49872
-0.4987,3.0095403,1.2581805,294.54825,419.13907
-0.49868,1.7005713,1.291363,294.8673,418.76273
-0.49866,1.0466818,1.3023486,295.13858,418.70868
-0.49864,2.8914285,1.2886499,295.35623,418.52246
-0.49862,2.4474604,1.323265,295.5149,418.21045
-0.4986,1.6778969,1.3545985,295.60495,418.11023
-0.49858,1.4305147,1.3432076,295.6198,418.10495
-0.49856,3.480314,1.316862,295.5602,417.8509
-0.49854,2.9380205,1.3530248,295.42218,417.47775
-0.49852,1.9969723,1.3903855,295.2023,417.36563
-0.4985,1.7006446,1.381349,294.89188,417.38315
-0.49848,3.8016963,1.3545661,294.4873,417.1267
-0.49846,3.2545488,1.3904786,293.9928,416.7611
-0.49844,2.4023783,1.4252594,293.40762,416.62674
-0.49842,2.1802375,1.4160283,292.73126,416.63022
-0.4984,4.197908,1.3972906,291.95807,416.3266
-0.49838,3.5489428,1.439862,291.08844,415.9405
-0.49836,2.7075124,1.4743389,290.1298,415.8341
-0.49834,2.5929034,1.4625202,289.08493,415.84702
-0.49832,4.015319,1.406141,287.95685,415.8465
-0.4983,4.7811728,1.3945072,286.74408,415.39444
-0.49828,3.3836763,1.428648,285.4515,415.10016
-0.49826,3.1124704,1.432303,284.08795,415.07465
-0.49824,4.280215,1.3930755,282.6598,415.09644
-0.49822,5.108851,1.3943335,281.17264,414.67123
-0.4982,3.7338898,1.4366802,279.62973,414.42474
-0.49818,5.6169677,1.4646157,278.03946,414.0374
-0.49816,3.3317697,1.5428625,276.41013,413.92252
-0.49814,3.9186075,1.568291,274.7501,413.92944
-0.49812,4.7471066,1.579631,273.06668,413.68402
-0.4981,4.248115,1.5999246,271.36667,413.51672
-0.49808,1.233233,1.5833259,269.66013,413.67764
-0.49806,2.3824975,1.5266867,267.95267,413.58957
-0.49804,2.0337925,1.5099854,266.25296,413.21854
-0.49802,0.9699815,1.5153714,264.56796,413.024
-0.498,-0.33775717,1.5034082,262.90628,413.01022
-0.49798,-0.8475849,1.4572529,261.27716,413.04037
-0.49796,0.43358383,1.4047993,259.682,412.80188
-0.49794,-0.3902628,1.4058139,258.1277,412.4435
-0.49792,-2.2660282,1.4152863,256.61908,412.3604
-0.4979,-1.7704097,1.4008098,255.16411,412.28586
-0.49788,-1.7833816,1.4137496,253.7689,412.01453
-0.49786,-2.8572013,1.443947,252.43019,411.8067
-0.49784,-2.6494403,1.4427613,251.15129,411.83203
-0.49782,-2.045394,1.427154,249.93378,411.75378
-0.4978,-1.4568883,1.4319658,248.78236,411.6234
-0.49778,-2.1139188,1.4498966,247.69882,411.47107
-0.49776,-2.4295647,1.4423308,246.67555,411.5252
-0.49774,-1.3806003,1.4007779,245.71179,411.5314
-0.49772,-0.937208,1.377507,244.80519,411.26395
-0.4977,-1.4683968,1.3798954,243.9559,411.10468
-0.49768,-1.8471912,1.3716155,243.16072,411.10547
-0.49766,-1.318568,1.3360382,242.4096,411.118
-0.49764,-0.9358307,1.3021679,241.69803,410.94647
-0.49762,-0.772338,1.28441,241.02031,410.77908
-0.4976,-1.1263264,1.2759517,240.37157,410.71094
-0.49758,-0.8738824,1.2561867,239.74474,410.69144
-0.49756,-0.866285,1.2340292,239.12962,410.5492
-0.49754,-0.5560698,1.2093219,238.51938,410.47467
-0.49752,-0.7236824,1.1882626,237.9064,410.43723
-0.4975,-0.27265394,1.1631122,237.2818,410.40686
-0.49748,-0.1811876,1.1482915,236.63658,410.2493
-0.49746,0.021015327,1.1432188,235.96292,410.14093
-0.49744,-0.5369431,1.1425545,235.25363,410.1351
-0.49742,-0.23459196,1.1203223,234.50125,410.18076
-0.4974,0.3053232,1.0915275,233.69484,410.0798
-0.49738,0.54699767,1.0791994,232.82613,409.9741
-0.49736,0.097118504,1.0810395,231.89139,409.94006
-0.49734,-0.001218532,1.0685886,230.88535,410.00427
-0.49732,0.557504,1.0369837,229.80255,410.01917
-0.4973,0.8579815,1.0139221,228.63264,409.96738
-0.49728,0.75977427,1.0058006,227.3705,409.9464
-0.49726,0.9691123,1.0023986,226.01718,409.934
-0.49724,0.9805802,1.002265,224.57097,409.86758
-0.49722,1.192316,1.0044996,223.0299,409.85928
-0.4972,0.96250623,1.009857,221.3866,409.908
-0.49718,1.4936191,1.0063738,219.64061,409.91794
-0.49716,1.5253887,1.0092834,217.79721,409.85626
-0.49714,1.6228539,1.0144161,215.85901,409.8608
-0.49712,1.6419437,1.0207452,213.82805,409.91095
-0.4971,1.8407742,1.0215654,211.70142,409.94565
-0.49708,2.777269,1.0321778,209.48383,409.77823
-0.49706,1.8684685,1.0698949,207.18289,409.75937
-0.49704,1.6672109,1.0808487,204.80522,409.92038
-0.49702,2.497775,1.0594053,202.35619,410.00784
-0.497,2.9471192,1.0427235,199.83784,409.96893
-0.49698,2.9572601,1.0413525,197.25896,409.95953
-0.49696,2.881902,1.0404234,194.62712,409.9728
-0.49694,3.125452,1.0307895,191.95152,410.03528
-0.49692,3.3459506,1.0194135,189.2394,410.0372
-0.4969,3.754952,1.0129863,186.49677,410.03305
-0.49688,3.7415245,1.0143336,183.73448,410.03552
-0.49686,3.8607128,1.0154587,180.9577,410.0768
-0.49684,3.858373,1.0117112,178.17603,410.13217
-0.49682,4.2791314,0.9954006,175.39671,410.1853
-0.4968,4.637435,0.97945446,172.62784,410.2054
-0.49678,4.6952624,0.9700868,169.87975,410.2451
-0.49676,4.9484572,0.9616131,167.15337,410.2863
-0.49674,5.024054,0.95033276,164.45674,410.35928
-0.49672,5.2565355,0.93352884,161.79523,410.43005
-0.4967,5.4569154,0.91132486,159.17647,410.51926
-0.49668,5.685288,0.8867999,156.60814,410.55988
-0.49666,5.6246223,0.86840814,154.08624,410.64432
-0.49664,5.58458,0.85320306,151.61575,410.73917
-0.49662,3.69036,0.83610225,149.19878,410.8991
-0.4966,3.4052765,0.81263787,146.84041,410.98816
-0.49658,3.0693576,0.7908853,144.54417,411.11295
-0.49656,2.3672564,0.77233166,142.3019,411.2515
-0.49654,2.0803175,0.74279964,140.11475,411.3734
-0.49652,1.9225763,0.71033627,137.98132,411.47018
-0.4965,1.705468,0.6906122,135.9028,411.58167
-0.49648,1.028601,0.68876034,133.87837,411.68866
-0.49646,0.46242687,0.68793684,131.89738,411.80023
-0.49644,-0.23164646,0.67462677,129.9577,411.95956
-0.49642,-0.14032988,0.6449047,128.05507,412.1428
-0.4964,-0.4561197,0.6221887,126.18658,412.26227
-0.49638,-0.9015608,0.6061603,124.34812,412.3786
-0.49636,-1.2703536,0.59570104,122.52889,412.50146
-0.49634,-1.8030846,0.5892806,120.72484,412.64896
-0.49632,-2.2732775,0.57715285,118.93023,412.8012
-0.4963,-2.5044625,0.55957776,117.13917,412.94815
-0.49628,-2.725048,0.54631096,115.34621,413.0845
-0.49626,-3.1848423,0.54415727,113.54256,413.2202
-0.49624,-3.776803,0.5407253,111.72412,413.37292
-0.49622,-4.055264,0.5288201,109.88551,413.53424
-0.4962,-4.231153,0.5175738,108.01971,413.71194
-0.49618,-4.5969224,0.51178783,106.12222,413.84872
-0.49616,-5.0040436,0.50918317,104.187744,413.9904
-0.49614,-5.289172,0.50489116,102.21393,414.1567
-0.49612,-5.2080965,0.4954578,100.197395,414.32413
-0.4961,-5.1596036,0.48686445,98.13215,414.4851
-0.49608,-5.1391945,0.48008707,96.01657,414.65472
-0.49606,-4.2177367,0.47830227,93.84921,414.88034
-0.49604,-4.1604733,0.48044437,91.63075,415.0386
-0.49602,-3.8492353,0.47860172,89.36074,415.21735
-0.496,-3.7356143,0.4805299,87.03609,415.39676
-0.49598,-3.6221788,0.48197544,84.65899,415.60394
-0.49596,-3.3942103,0.4782313,82.231125,415.75858
-0.49594,-3.1334589,0.47302574,79.75646,415.94156
-0.49592,-2.8200278,0.46970445,77.23763,416.12967
-0.4959,-2.7420535,0.47288767,74.67533,416.3142
-0.49588,-2.8261323,0.47164306,72.07547,416.4766
-0.49586,-2.7118866,0.45467132,69.44112,416.68015
-0.49584,-2.0563796,0.42331463,66.778915,416.8996
-0.49582,-1.4541888,0.4031685,64.093704,417.08603
-0.4958,-1.4633025,0.40626797,61.389812,417.2319
-0.49578,-1.6080723,0.4162829,58.67561,417.41348
-0.49576,-1.5412644,0.41442385,55.953533,417.62854
-0.49574,-1.2127827,0.39455724,53.231426,417.8288
-0.49572,-0.65120083,0.36581966,50.514923,418.00867
-0.4957,-0.16937679,0.34556645,47.810738,418.20496
-0.49568,-0.087744944,0.34346136,45.127785,418.38593
-0.49566,-0.14968872,0.34440818,42.46605,418.57053
-0.49564,0.08012448,0.33358634,39.832798,418.75143
-0.49562,0.5252791,0.31414318,37.23285,418.96805
-0.4956,0.9672379,0.29523584,34.6734,419.1555
-0.49558,1.2010704,0.28543228,32.16189,419.31308
-0.49556,1.2306719,0.28034335,29.694769,419.48788
-0.49554,1.4553536,0.26662308,27.277206,419.69104
-0.49552,1.9009646,0.24290061,24.911839,419.88797
-0.4955,2.2047677,0.22044638,22.604378,420.0729
-0.49548,2.5618477,0.2025968,20.35923,420.2199
-0.49546,2.8226035,0.18748423,18.16931,420.37936
-0.49544,3.0827134,0.17475212,16.03678,420.57132
-0.49542,3.167048,0.15959312,13.961408,420.77338
-0.4954,3.63724,0.13764898,11.945945,420.9412
