Time,IL1,IL2,Rede,Vbus11,Vpv
-0.49998,2.881046,1.0352663,236.42014,430.74298,21.57006
-0.49996,3.0572896,1.030406,237.80173,430.65137,21.571249
-0.49994,3.1333418,1.036871,239.20192,430.54575,21.572447
-0.49992,2.889737,1.0417627,240.62234,430.53995,21.573639
-0.4999,3.3857183,1.0351912,242.05977,430.48007,21.574833
-0.49988,3.6888642,1.0394061,243.51303,430.31592,21.576029
-0.49986,3.0383167,1.0494517,244.98068,430.29773,21.577187
-0.49984,3.7016816,1.0382012,246.46054,430.25574,21.578201
-0.49982,4.105704,1.0409316,247.95253,430.10556,21.579111
-0.4998,4.103206,1.0694262,249.4523,429.90753,21.579966
-0.49978,3.1720119,1.0974549,250.95729,429.91058,21.580683
-0.49976,3.83107,1.0807827,252.46478,429.94125,21.581253
-0.49974,4.5570054,1.0618161,253.97041,429.80765,21.581732
-0.49972,4.7426987,1.0751467,255.47307,429.55292,21.582222
-0.4997,3.5848148,1.0990999,256.96844,429.53488,21.582752
-0.49968,4.462584,1.0846485,258.45337,429.49762,21.583242
-0.49966,4.9092765,1.0831773,259.92468,429.31046,21.58362
-0.49964,4.6134973,1.1052582,261.37646,429.13147,21.583916
-0.49962,4.462732,1.1071076,262.80746,429.1272,21.58415
-0.4996,5.356564,1.0821786,264.21466,429.0284,21.584396
-0.49958,5.5291667,1.0992005,265.5951,428.78442,21.584763
-0.49956,4.495473,1.1472868,266.94598,428.63556,21.585125
-0.49954,4.8199587,1.1566198,268.26108,428.6218,21.585392
-0.49952,4.436745,1.1247607,269.53973,428.74063,21.585596
-0.4995,5.643327,1.0928947,270.78098,428.5103,21.585749
-0.49948,2.3292246,1.1151956,271.9828,428.38083,21.5859
-0.49946,1.7071644,1.0989712,273.1435,428.4543,21.586018
-0.49944,1.9968469,1.0829444,274.25748,428.26065,21.586155
-0.49942,1.1360445,1.0986636,275.32535,428.15427,21.5863
-0.4994,-0.20750739,1.11335,276.34827,428.10907,21.586424
-0.49938,-1.1901433,1.0901362,277.3256,428.17398,21.586481
-0.49936,0.16907851,1.0398278,278.25702,428.0548,21.58645
-0.49934,-0.5090442,1.0380397,279.1384,427.8828,21.586414
-0.49932,-2.012646,1.0531722,279.9715,427.76883,21.586357
-0.4993,-1.6775087,1.0665212,280.75934,427.56525,21.586136
-0.49928,-1.8374343,1.1120043,281.5025,427.33212,21.585772
-0.49926,-3.1017828,1.1622615,282.20197,427.28033,21.585363
-0.49924,-2.5387902,1.1479918,282.85513,427.57486,21.584911
-0.49922,-1.0483979,1.0984216,283.4648,427.4515,21.584429
-0.4992,-1.0328232,1.1057373,284.0348,427.1992,21.583996
-0.49918,-2.0729074,1.139726,284.56662,427.04514,21.583529
-0.49916,-1.8353992,1.1354873,285.0619,427.21506,21.583021
-0.49914,-0.81725335,1.104026,285.5195,427.0806,21.582424
-0.49912,-1.0573508,1.1085136,285.94238,426.89612,21.58172
-0.4991,-1.823346,1.1175756,286.33438,426.8351,21.58101
-0.49908,-0.202785,1.1095592,286.69717,426.78702,21.580338
-0.49906,-0.6395124,1.1446875,287.0325,426.47256,21.579659
-0.49904,-0.9890943,1.1917489,287.34003,426.3483,21.578972
-0.49902,-2.0608196,1.2115327,287.62222,426.42764,21.578327
-0.499,-0.04959772,1.1757444,287.88214,426.50394,21.577717
-0.49898,-0.05558482,1.1771908,288.1211,426.19165,21.577091
-0.49896,-0.3873731,1.2068406,288.34042,426.00272,21.576492
-0.49894,-1.5661929,1.2205371,288.53986,426.05276,21.57588
-0.49892,0.3583323,1.1826297,288.72095,426.09375,21.575226
-0.4989,0.26955917,1.1821802,288.8857,425.78973,21.574486
-0.49888,-0.048349686,1.2054971,289.0348,425.59442,21.573643
-0.49886,0.5028445,1.2126151,289.16885,425.59796,21.572731
-0.49884,1.0273384,1.2388191,289.2872,425.309,21.571756
-0.49882,0.49444568,1.2972091,289.39044,425.078,21.57077
-0.4988,-0.30147335,1.3393366,289.47977,425.0399,21.569818
-0.49878,0.5378558,1.3231771,289.55524,425.1854,21.568932
-0.49876,1.6238067,1.31304,289.61688,424.90286,21.567984
-0.49874,0.5019041,1.3503276,289.66367,424.63077,21.566952
-0.49872,0.21772376,1.359152,289.69556,424.61084,21.565802
-0.4987,1.3296868,1.3218064,289.71344,424.6582,21.564642
-0.49868,2.1770148,1.315929,289.71716,424.28995,21.56339
-0.49866,0.8197504,1.3622566,289.70663,424.0119,21.562086
-0.49864,0.38352996,1.3717177,289.68082,424.0681,21.560774
-0.49862,2.5614216,1.3543265,289.6397,423.88388,21.559483
-0.4986,2.0342658,1.40983,289.58438,423.46863,21.558207
-0.49858,1.0777875,1.467237,289.5151,423.3459,21.556879
-0.49856,0.82368624,1.4710418,289.4322,423.4012,21.555538
-0.49854,2.9244068,1.451633,289.33524,423.1896,21.554148
-0.49852,2.4827507,1.497244,289.22485,422.73788,21.55267
-0.4985,1.5503042,1.5434247,289.1029,422.60083,21.551146
-0.49848,1.2097858,1.5371029,288.9703,422.65326,21.54963
-0.49846,2.4564457,1.4667536,288.8282,422.74112,21.548145
-0.49844,3.6092408,1.4246382,288.67755,422.2848,21.546692
-0.49842,2.2795885,1.4448197,288.51996,421.93948,21.545256
-0.4984,1.8061007,1.4412391,288.3578,421.92648,21.543861
-0.49838,3.6054149,1.4231272,288.1929,421.68234,21.542469
-0.49836,2.9516432,1.4615483,288.02737,421.30768,21.541016
-0.49834,2.5871756,1.5040596,287.86377,421.08575,21.539442
-0.49832,1.7755224,1.5087216,287.70447,421.16806,21.537777
-0.4983,3.7001362,1.471139,287.552,420.9891,21.53605
-0.49828,3.622663,1.4770746,287.40872,420.613,21.53431
-0.49826,2.952853,1.4890836,287.27725,420.4876,21.53261
-0.49824,2.6283007,1.4656811,287.16144,420.50858,21.530931
-0.49822,4.4336557,1.4341305,287.064,420.18094,21.529148
-0.4982,3.8060718,1.4624016,286.9865,419.79105,21.527296
-0.49818,3.243453,1.4959725,286.93134,419.56918,21.525272
-0.49816,2.529545,1.4813294,286.9008,419.7058,21.523197
-0.49814,4.5102177,1.4254718,286.89905,419.50983,21.521053
-0.49812,4.3703485,1.418325,286.9283,419.13544,21.518797
-0.4981,3.7142334,1.4171461,286.9883,418.99384,21.516455
-0.49808,3.3641934,1.3815538,287.08047,419.0394,21.514097
-0.49806,5.0573354,1.340631,287.20575,418.71484,21.511694
-0.49804,4.395957,1.3546789,287.36774,418.38077,21.50927
-0.49802,3.9798121,1.3731145,287.56662,418.20502,21.506733
-0.498,4.596518,1.361818,287.80008,418.13766,21.50419
-0.49798,4.9548554,1.3821671,288.06763,417.77267,21.501669
-0.49796,4.3182764,1.4233965,288.36853,417.55368,21.49912
-0.49794,3.6440144,1.441707,288.70346,417.51013,21.496426
-0.49792,4.5314717,1.4034978,289.0708,417.52692,21.493801
-0.4979,2.8251886,1.3960425,289.4659,417.19583,21.491144
-0.49788,1.3343506,1.4143125,289.8862,417.00708,21.488405
-0.49786,0.6315415,1.399585,290.32855,416.99084,21.48563
-0.49784,1.1070384,1.3466818,290.7903,416.9615,21.482758
-0.49782,0.88176,1.3437462,291.26752,416.51135,21.479864
-0.4978,-0.46790427,1.3698152,291.7543,416.26,21.476936
