Time,IL1,IL2,Rede,Vbus11
-0.49998,0.0,0.0,-40.722343,256.76443
-0.49996,0.0,0.0,-42.872818,256.77533
-0.49994,0.0,0.0,-45.062073,256.78625
-0.49992,0.0,0.0,-47.287785,256.79718
-0.4999,0.0,0.0,-49.5474,256.8074
-0.49988,0.0,0.0,-51.836178,256.8184
-0.49986,0.0,0.0,-54.158134,256.82938
-0.49984,0.0,0.0,-56.503777,256.84042
-0.49982,0.0,0.0,-58.869434,256.85147
-0.4998,0.0,0.0,-61.251377,256.86255
-0.49978,0.0,0.0,-63.64382,256.87366
-0.49976,0.0,0.0,-66.04748,256.88477
-0.49974,0.0,0.0,-68.45492,256.89514
-0.49972,0.0,0.0,-70.86236,256.9063
-0.4997,0.0,0.0,-73.266106,256.9175
-0.49968,0.0,0.0,-75.660675,256.92874
-0.49966,0.0,0.0,-78.04468,256.9392
-0.49964,0.0,0.0,-80.414185,256.95047
-0.49962,0.0,0.0,-82.76643,256.96176
-0.4996,0.0,0.0,-85.098885,256.97305
-0.49958,0.0,0.0,-87.40746,256.9836
-0.49956,0.0,0.0,-89.69047,256.9942
-0.49954,0.0,0.0,-91.9477,257.00558
-0.49952,0.0,0.0,-94.178154,257.01697
-0.4995,0.0,0.0,-96.38112,257.0284
-0.49948,0.0,0.0,-98.55449,257.03986
-0.49946,0.0,0.0,-100.69799,257.05136
-0.49944,0.0,0.0,-102.814186,257.06284
-0.49942,0.0,0.0,-104.90397,257.07437
-0.4994,0.0,0.0,-106.96848,257.0859
-0.49938,0.0,0.0,-109.00751,257.0975
-0.49936,0.0,0.0,-111.023254,257.10907
-0.49934,0.0,0.0,-113.01935,257.1207
-0.49932,0.0,0.0,-114.99808,257.13235
-0.4993,0.0,0.0,-116.96185,257.144
-0.49928,0.0,0.0,-118.91163,257.1557
-0.49926,0.0,0.0,-120.852234,257.16742
-0.49924,0.0,0.0,-122.78646,257.17917
-0.49922,0.0,0.0,-124.71703,257.19092
-0.4992,0.0,0.0,-126.64667,257.2027
-0.49918,0.0,0.0,-128.57643,257.21454
-0.49916,0.0,0.0,-130.51292,257.22556
-0.49914,0.0,0.0,-132.45663,257.23743
-0.49912,0.0,0.0,-134.4097,257.2493
-0.4991,0.0,0.0,-136.37408,257.26123
-0.49908,0.0,0.0,-138.34991,257.27316
-0.49906,0.0,0.0,-140.34404,257.28513
-0.49904,0.0,0.0,-142.35411,257.29712
-0.49902,0.0,0.0,-144.38086,257.3091
-0.499,0.0,0.0,-146.42474,257.32117
-0.49898,0.0,0.0,-148.48422,257.33322
-0.49896,0.0,0.0,-150.56479,257.3453
-0.49894,0.0,0.0,-152.66168,257.35742
-0.49892,0.0,0.0,-154.77396,257.36954
-0.4989,0.0,0.0,-156.90028,257.3817
-0.49888,0.0,0.0,-159.03738,257.3939
-0.49886,0.0,0.0,-161.18799,257.4061
-0.49884,0.0,0.0,-163.34653,257.41833
-0.49882,0.0,0.0,-165.51044,257.42975
-0.4988,0.0,0.0,-167.67712,257.44202
-0.49878,0.0,0.0,-169.84187,257.45435
-0.49876,0.0,0.0,-172.00438,257.46664
-0.49874,0.0,0.0,-174.15982,257.47733
-0.49872,0.0,0.0,-176.30496,257.48972
-0.4987,0.0,0.0,-178.43654,257.5021
-0.49868,0.0,0.0,-180.54962,257.51453
-0.49866,0.0,0.0,-182.64113,257.52612
-0.49864,0.0,0.0,-184.70866,257.5386
-0.49862,0.0,0.0,-186.7493,257.55112
