Time,IL1,IL2,Rede,Vbus11
-0.5,1.658676,-1.5040661,-237.47942,405.2781
-0.49998,2.322033,-1.4939985,-236.80685,405.14737
-0.49996,2.543265,-1.4607483,-236.1703,405.11554
-0.49994,1.5616177,-1.3978485,-235.56369,405.18283
-0.49992,0.79239464,-1.3442446,-234.9763,405.0245
-0.4999,1.2467922,-1.3363303,-234.40149,404.77417
-0.49988,1.9248834,-1.3287907,-233.83186,404.77213
-0.49986,1.2504851,-1.2839433,-233.25916,404.81036
-0.49984,1.0150299,-1.2417133,-232.67441,404.77417
-0.49982,1.1540997,-1.2122916,-232.06917,404.67072
-0.4998,0.7029524,-1.1880151,-231.43614,404.61877
-0.49978,0.49566686,-1.17931,-230.76764,404.5325
-0.49976,0.644899,-1.1874799,-230.05336,404.4585
-0.49974,0.87075144,-1.1944283,-229.28383,404.43442
-0.49972,0.84026533,-1.1840101,-228.45494,404.46793
-0.4997,0.6774397,-1.1539475,-227.56085,404.54544
-0.49968,-0.01435675,-1.1162324,-226.59569,404.54984
-0.49966,0.15891552,-1.1046776,-225.5495,404.45026
-0.49964,0.054931145,-1.1030649,-224.41505,404.40903
-0.49962,-0.023188751,-1.1002338,-223.19327,404.427
-0.4996,-0.21174178,-1.0989466,-221.88171,404.43695
-0.49958,-0.2447187,-1.1039587,-220.47775,404.42294
-0.49956,-0.25667897,-1.1090846,-218.97423,404.42142
-0.49954,-0.34862202,-1.1054468,-217.36813,404.48294
-0.49952,-0.6336077,-1.0970027,-215.66493,404.533
-0.4995,-0.73155725,-1.0942034,-213.86653,404.54074
-0.49948,-0.98105556,-1.0940741,-211.97421,404.5371
-0.49946,-1.0356965,-1.1009616,-209.9851,404.5576
-0.49944,-0.8508202,-1.1087848,-207.90147,404.63986
-0.49942,-1.172024,-1.103308,-205.73154,404.69034
-0.4994,-1.5952051,-1.096054,-203.48122,404.70132
-0.49938,-1.7564372,-1.1056272,-201.15544,404.70245
-0.49936,-1.7072248,-1.1298935,-198.75607,404.72293
-0.49934,-1.5150937,-1.1478823,-196.29008,404.76822
-0.49932,-1.5978502,-1.1392617,-193.76593,404.91745
-0.4993,-2.1990483,-1.1102629,-191.1924,405.03058
-0.49928,-2.624664,-1.0911407,-188.5766,405.04706
-0.49926,-2.6347647,-1.0893861,-185.92433,405.0363
-0.49924,-2.4128716,-1.0916418,-183.24559,405.13336
-0.49922,-2.5493534,-1.077773,-180.54648,405.28696
-0.4992,-2.9500723,-1.0480051,-177.83669,405.3758
-0.49918,-3.4240615,-1.0207851,-175.12355,405.4233
-0.49916,-3.499023,-1.0107489,-172.41496,405.50467
-0.49914,-3.5308511,-1.00909,-169.7216,405.59995
-0.49912,-3.678902,-1.0032723,-167.04517,405.68558
-0.4991,-4.001547,-0.99471915,-164.39413,405.7461
-0.49908,-4.130653,-0.9926941,-161.77419,405.86285
-0.49906,-4.1553583,-0.983569,-159.19293,406.004
-0.49904,-4.458197,-0.9615479,-156.65924,406.13736
-0.49902,-4.83592,-0.9365215,-154.16971,406.23822
-0.499,-5.082999,-0.9184568,-151.72975,406.34937
-0.49898,-5.283592,-0.90732896,-149.34216,406.4554
-0.49896,-5.417862,-0.90382206,-147.01205,406.5408
-0.49894,-5.486093,-0.89861196,-144.74461,406.6776
